WC_Sample_Site_Name,Lab_Samp_No,Matrix_ID,Date_Collected,Date_Received,Date_Analyzed,Lab_Name,Analytical_Method,Analyte,Lab_Result_Qualifier,Result,Units,MDL,Reporting_Limit,Comments,ESA_omit_data,ESA_Flag,PercentDif,Site_Number,qa_type,Notes
site 13,23080233-007,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.72645,mg/L,0.11,0.2,,,,,13,field_primary,
1UVa2023,23080233-002,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.71115,mg/L,0.11,0.2,,,,,1UVa2023,field_primary,
SITE 10,23080441-003,Surface Water,8/14/2023,8/15/2023,8/22/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.66635,mg/L,0.11,0.2,,,,,10,field_primary,
SITE 26,23080441-002,Surface Water,8/14/2023,8/15/2023,8/22/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.65635,mg/L,0.11,0.2,,,,,26UVa2023,field_primary,
SITE 12,23070086-005,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.6223,mg/L,0.11,0.2,,,,,12,field_primary,
SITE 14,23070086-007,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.6033,mg/L,0.11,0.2,,,,,14,field_primary,
Site 14,23060094-007,Surface Water,6/6/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.5993,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,,,14,field_primary,
Site 18,23070085-001,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.58385,mg/L,0.11,0.2,,,,,18,field_primary,
SITE 13,23070086-006,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.55845,mg/L,0.11,0.2,,,,,13,field_primary,
Site 18,23060095-005,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.55645,mg/L,0.11,0.2,,,,,18,field_primary,
Site 10 Duplicate,23060094-003,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.4039,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23",,,,10,field_duplicate,
Site 11 Duplicate,23070086-004,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.393,mg/L,0.11,0.2,,,,,11,field_duplicate,
Site 12,23060094-006,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.48045,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,,,12,field_primary,
Site 15,23070085-004,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.47765,mg/L,0.11,0.2,,,,,15,field_primary,
Site 10,23070086-002,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.45445,mg/L,0.11,0.2,,,,,10,field_primary,
Site 11,23060094-004,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.45095,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,,,11,field_primary,
Site 11,23070086-003,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.4388,mg/L,0.11,0.2,,,,,11,field_primary,
Site 13,23060094-005,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.40545,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,,,13,field_primary,
Site 17,23060095-002,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.34885,mg/L,0.11,0.2,,,,,17,field_primary,
Site 15,23060095-006,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.33315,mg/L,0.11,0.2,,,,,15,field_primary,
Site 7,23060095-004,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.28465,mg/L,0.11,0.2,,,,,7,field_primary,
Site 16,23070085-003,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.28155,mg/L,0.11,0.2,,,,,16,field_primary,
Site 17,23070085-002,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.28095,mg/L,0.11,0.2,,,,,17,field_primary,
Site 7,23070085-005,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.25365,mg/L,0.11,0.2,,,,,7,field_primary,
Site 7,23050718-005,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,J",0.0078,mg/L,0.0062,0.02,,,BRL,,7,field_primary,
Site 27,23050718-004,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,J",0.0064,mg/L,0.0062,0.02,,,BRL,,27,field_primary,
Site 26,23050721-001,Surface Water,5/23/2023,5/23/2023,6/7/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,J",0.0082,mg/L,0.0062,0.02,,,BRL,,26,field_primary,
Site 23,23050718-006,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,J",0.0085,mg/L,0.0062,0.02,,,BRL,,23,field_primary,
Rinsate,23070531-006,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,M",0.0215,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23070531-006,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,M",0.0215,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
Site 24,23050721-002,Surface Water,5/23/2023,5/23/2023,6/7/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,M,J",0.0084,mg/L,0.0062,0.02,,,BRL,,24,field_primary,
Site 10,23060094-002,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,"B,U",0,mg/L,0.11,0.2,"FP = ND, FR = 0.40 mg/L. temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",yes,BMDL,,10,field_primary,
Site 19,23050718-003,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,U",0.0057,mg/L,0.0062,0.02,,,BMDL,,19,field_primary,
Site 14,23050718-007,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"B,U",0.0044,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Site 12,23070302-002,Surface Water,7/10/2023,7/11/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"D,U",0,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Rinsate,23060363-001,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",HT,0.0048,mg/L,0.0042,0.02,,,BRL,,RB,rinsate_blank,
Site 18,23060364-008,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0165,mg/L,0.0042,0.02,,,BRL,,18,field_primary,
Site 20,23060363-006,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0105,mg/L,0.0042,0.02,,,BRL,,20,field_primary,
Site 17,23060363-002,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0075,mg/L,0.0042,0.02,,,BRL,,17,field_primary,
Site 10,23060364-002,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0074,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 7,23060363-003,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0067,mg/L,0.0042,0.02,,,BRL,,7,field_primary,
Site 10 Duplicate,23060364-003,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0065,mg/L,0.0042,0.02,,,BRL,,10,field_duplicate,
Site 11,23060364-004,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0053,mg/L,0.0042,0.02,,,BRL,,11,field_primary,
Site 12,23060364-005,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,J",0.0048,mg/L,0.0042,0.02,,,BRL,,12,field_primary,
Site 16,23060363-005,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,U",0.0038,mg/L,0.0042,0.02,,,BMDL,,16,field_primary,
Site 14,23060364-007,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,U",0.0033,mg/L,0.0042,0.02,,,BMDL,,14,field_primary,
Site 13,23060364-006,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,U",0.0023,mg/L,0.0042,0.02,,,BMDL,,13,field_primary,
Site 15,23060363-004,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,U",0,mg/L,0.0042,0.02,,,BMDL,,15,field_primary,
Rinsate,23060364-001,Surface Water,6/12/2023,6/13/2023,6/14/2023,WETLab,SM 4500-P E,"Orthophosphate, as P","HT,U",0,mg/L,0.0042,0.02,,,BMDL,,RB,rinsate_blank,
Rinsate Blank,23080233-001,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.1673,mg/L,0.11,0.2,,,BRL,,RB,rinsate_blank,
Rinsate,23060094-001,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.1604,mg/L,0.11,0.2,"temp was 14C however, one sample was collected morning of 6/5/23",,BRL,,RB,rinsate_blank,
Rinsate,23060095-001,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.1541,mg/L,0.11,0.2,,,BRL,,RB,rinsate_blank,
RINSATE,23080441-005,Surface Water,8/14/2023,8/15/2023,8/22/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.14955,mg/L,0.11,0.2,,,BRL,,RB,rinsate_blank,
Site 18,23090663-002,Surface Water,9/25/2023,9/26/2023,10/2/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.18635,mg/L,0.11,0.2,,,BRL,,18,field_primary,
Site 22,23060727-001,Surface Water,6/27/2023,6/27/2023,7/11/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.18625,mg/L,0.11,0.2,,,BRL,,22,field_primary,
Site 7,23060729-008,Surface Water,6/26/2023,6/27/2023,7/11/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.1829,mg/L,0.11,0.2,,,BRL,,7,field_primary,
Site 16,23060729-005,Surface Water,6/26/2023,6/27/2023,7/11/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.1451,mg/L,0.11,0.2,,,BRL,,16,field_primary,
Site 17,23060729-004,Surface Water,6/26/2023,6/27/2023,7/11/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,J,0.14025,mg/L,0.11,0.2,,,BRL,,17,field_primary,
Site 16,23060729-005,Surface Water,6/26/2023,6/27/2023,7/10/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0149,mg/L,0.0059,0.02,,,BRL,,16,field_primary,
Site 24,23050721-002,Surface Water,5/23/2023,5/23/2023,6/2/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0152,mg/L,0.0059,0.02,,,BRL,,24,field_primary,
Site 17 - duplicate,23100915-002,Surface Water,10/30/2023,10/31/2023,11/9/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0174,mg/L,0.0059,0.02,,,BRL,,17,field_duplicate,
Site 17,23100915-001,Surface Water,10/30/2023,10/31/2023,11/9/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0186,mg/L,0.0059,0.02,,,BRL,,17,field_primary,
Site 17,23060095-002,Surface Water,6/5/2023,6/6/2023,6/12/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0187,mg/L,0.0059,0.02,,,BRL,,17,field_primary,
Site 17,23060729-004,Surface Water,6/26/2023,6/27/2023,7/10/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0192,mg/L,0.0059,0.02,,,BRL,,17,field_primary,
Site 17,23070085-002,Surface Water,7/5/2023,7/6/2023,7/13/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0194,mg/L,0.0059,0.02,,,BRL,,17,field_primary,
Site 16,23060363-005,Surface Water,6/12/2023,6/13/2023,6/21/2023,WETLab,SM 4500-P E,Total Phosphorous as P,J,0.0199,mg/L,0.0059,0.02,,,BRL,,16,field_primary,
Site 14,23070540-004,Surface Water,7/17/2023,7/18/2023,7/18/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0196,mg/L,0.0042,0.02,,,BRL,,14,field_primary,
Site 9UVa2023,23070747-007,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0193,mg/L,0.0042,0.02,,,BRL,,9UVA2023,field_primary,
Site 11,23070287-004,Surface Water,7/10/2023,7/11/2023,7/11/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0192,mg/L,0.0042,0.02,,,BRL,,11,field_primary,
Site 16,23080040-003,Surface Water,7/31/2023,8/1/2023,8/1/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0192,mg/L,0.0042,0.02,,,BRL,,16,field_primary,
Site 11- Dupe,23090662-005,Surface Water,9/26/2023,9/26/2023,9/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0191,mg/L,0.0062,0.02,,,BRL,,11,field_duplicate,
Site 18 Dupe,23090663-003,Surface Water,9/25/2023,9/26/2023,9/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0188,mg/L,0.0062,0.02,,,BRL,,18,field_duplicate,
Site 2 UVa2023,23090268-003,Surface Water,9/11/2023,9/12/2023,9/12/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0187,mg/L,0.0042,0.02,,,BRL,,2UVa2023,field_primary,
Site 17,23090060-002,Surface Water,9/5/2023,9/5/2023,9/5/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0185,mg/L,0.0042,0.02,,,BRL,,17,field_primary,
Site 8,23060729-007,Surface Water,6/26/2023,6/27/2023,6/27/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0183,mg/L,0.0042,0.02,,,BRL,,8,field_primary,
SITE 11,23090264-002,Surface Water,9/11/2023,9/12/2023,9/12/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0182,mg/L,0.0042,0.02,,,BRL,,11,field_primary,
Site 13,23070746-002,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0179,mg/L,0.0042,0.02,,,BRL,,13,field_primary,
Site 18,23050631-001,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0144,mg/L,0.0062,0.02,,,BRL,,18,field_primary,
9UVa 2023,23080117-002,Surface Water,8/2/2023,8/3/2023,8/3/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0178,mg/L,0.0042,0.02,,,BRL,,9UVa2023,field_primary,
Site 5UVa2023,23090454-002,Surface Water,9/19/2023,9/19/2023,9/19/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0178,mg/L,0.0042,0.02,,,BRL,,5UVa2023,field_primary,
SITE 11 (DUPE),23090264-003,Surface Water,9/11/2023,9/12/2023,9/12/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0176,mg/L,0.0042,0.02,,,BRL,,11,field_duplicate,
Site 2UVA2023,23070746-007,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0175,mg/L,0.0042,0.02,,,BRL,,2UVaa2023,field_primary,
SITE 10,23090264-001,Surface Water,9/11/2023,9/12/2023,9/12/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0175,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 10,23050630-008,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0131,mg/L,0.0062,0.02,,,BRL,,10,field_primary,
Site 10,23070531-002,Surface Water,7/17/2023,7/18/2023,7/18/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0172,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 10,23070531-002,Surface Water,7/17/2023,7/18/2023,7/18/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0172,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 10,23090126-002,Surface Water,9/6/2023,9/7/2023,9/7/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0172,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 11,23090662-004,Surface Water,9/26/2023,9/26/2023,9/27/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0171,mg/L,0.0042,0.02,,,BRL,,11,field_primary,
Site 9,23050630-002,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0099,mg/L,0.0062,0.02,,,BRL,,9,field_primary,
Site 8,23050630-003,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0089,mg/L,0.0062,0.02,,,BRL,,8,field_primary,
Site 25,23050630-006,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0084,mg/L,0.0062,0.02,,,BRL,,25,field_primary,
Site 10,23070746-006,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0166,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
3 UVa 2023,23080117-006,Surface Water,8/2/2023,8/3/2023,8/3/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0166,mg/L,0.0042,0.02,,,BRL,,3UVa2023,field_primary,
Site 12 Duplicate,23080766-003,Surface Water,8/28/2023,8/29/2023,8/29/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0166,mg/L,0.0042,0.02,,,BRL,,12,field_duplicate,
Site 10,23090451-001,Surface Water,9/19/2023,9/19/2023,9/19/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0166,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 10,23070287-003,Surface Water,7/10/2023,7/11/2023,7/11/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0165,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 3UVb2023,23070746-011,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0165,mg/L,0.0042,0.02,,,BRL,,3UVB2023,field_primary,
Site 10,23070086-002,Surface Water,7/5/2023,7/6/2023,7/6/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0163,mg/L,0.0042,0.02,,,BRL,,10,field_primary,
Site 16,23050631-002,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,J,0.0067,mg/L,0.0062,0.02,,,BRL,,16,field_primary,
Site 18,23060729-003,Surface Water,6/26/2023,6/27/2023,6/27/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.016,mg/L,0.0042,0.02,,,BRL,,18,field_primary,
Site 17,23070746-008,Surface Water,7/24/2023,7/25/2023,7/26/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",J,0.0159,mg/L,0.0042,0.02,,,BRL,,17,field_primary,
