Waterbody,Project,Replicate,Habitat,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Location
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,25.83,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,mid-channel,2021-06-04,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,25.83,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,mid-channel,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,mid-channel,2021-06-04,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,mid-channel,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,mid-channel,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,77.49,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,25.83,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Psectrocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,129.15,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,mid-channel,2021-06-04,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,9.16,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Oxyethira,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,13.74,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Oecetis,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,11.45,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,16.03,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,6.87,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,9.16,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Cryptochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,9.16,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Dicrotendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,68.7,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,43.51,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Paralauterborniella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Pseudochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,20.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,73.28,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,48.09,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,9.16,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,29.77,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Limnesia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Mideopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,34.35,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,50.38,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,151.14,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,16.03,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Crangonyx,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Crangonyctidae,scuds,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,286.25,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,139.69,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,224.42,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,4.58,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,near-shore,2021-06-04,Menetus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,2.29,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,3,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,14,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Oecetis,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,1,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,4,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,6,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Helobdella,U,non-insect,Aquatic,Annelida: Hirudinea,miscellaneous non-insect,Glossiphoniidae,leeches,2,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Cryptochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,4,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Dicrotendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,19,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,13,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,4,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Pseudochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,8,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,3,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,28,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Heterotrissocladius marcidus group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,7,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,19,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,2,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Mideopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,17,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,25,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,68,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,7,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Crangonyx,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Crangonyctidae,scuds,3,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,121,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,46,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,76,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,2,NA
Lake Tahoe,Tahoe Keys West Lagoon,23,near-shore,2021-06-04,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,1,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,2.13,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,12.78,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Oecetis,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,4.26,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,63.9,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,57.51,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,25.56,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6.39,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2.13,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Dicrotendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,112.89,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.52,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,6.39,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Pseudochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,34.08,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,166.14,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,29.82,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,40.47,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Psectrocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,8.52,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,6.39,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Clinotanypus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,2.13,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,23.43,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Mideopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,12.78,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,85.2,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,189.57,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,2.13,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Crangonyx,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Crangonyctidae,scuds,8.52,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,238.56,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,25.56,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,53.25,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,2.13,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,25.56,NA
Lake Tahoe,Tahoe Keys West Lagoon,24,near-shore,2021-06-04,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,4.26,NA
Lake Tahoe,NA,1,mid-channel,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,8.61,Tahoe Keys CMT
Lake Tahoe,NA,1,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,1,mid-channel,2022-05-03,Sperchon,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,8.61,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,3,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,3,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,4,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,4,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,7,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,6,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Limnesia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,3,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Mideopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,2,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Piona,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,35,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Ceratopogonidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,6,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Crangonyx,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Crangonyctidae,scuds,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,44,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,63,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Physa/Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,9,Tahoe Keys CMT
Lake Tahoe,NA,1,near-shore,2022-05-03,Planorbidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,1,Tahoe Keys CMT
Lake Tahoe,NA,10,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,Tahoe Keys CMT
